ori,counties,is_nibrs,latitude,longitude,state_abbr,state_name,agency_name,agency_type_name,nibrs_start_date,parish
LA0260100,JEFFERSON,True,29.677888,-90.100494,LA,Louisiana,Gretna Police Department,City,2020-01-01,JEFFERSON
LA0260200,JEFFERSON,True,29.93871,-90.19368,LA,Louisiana,Harahan Police Department,City,2020-04-01,JEFFERSON
LA0260000,JEFFERSON,True,29.677888,-90.100494,LA,Louisiana,Jefferson Parish Sheriff's Office,County,2020-01-01,JEFFERSON
LA0260400,JEFFERSON,True,29.911531,-90.14372,LA,Louisiana,Westwego Police Department,City,2020-05-01,JEFFERSON
LA0260600,JEFFERSON,True,,,LA,Louisiana,Jean Lafitte,,2021-01-01,JEFFERSON
LA0260300,JEFFERSON,True,29.677888,-90.100494,LA,Louisiana,Kenner Police Department,City,2020-01-01,JEFFERSON
LA0280000,LAFAYETTE,True,30.206507,-92.06417,LA,Louisiana,Lafayette Parish Sheriff's Office,County,2012-01-01,LAFAYETTE
LA0280200,LAFAYETTE,False,30.206507,-92.06417,LA,Louisiana,Carencro Police Department,City,,LAFAYETTE
LA0280300,LAFAYETTE,False,30.206507,-92.06417,LA,Louisiana,Lafayette Police Department,City,,LAFAYETTE
LA0280500,LAFAYETTE,False,30.206507,-92.06417,LA,Louisiana,Youngsville Police Department,City,,LAFAYETTE
LA0280600,LAFAYETTE,False,30.206507,-92.06417,LA,Louisiana,Scott Police Department,City,,LAFAYETTE
LA0280700,LAFAYETTE,False,30.206507,-92.06417,LA,Louisiana,University of Louisiana: Lafayette,University or College,,LAFAYETTE
LA0282000,LAFAYETTE,False,30.216476,-92.0526,LA,Louisiana,South Louisiana Community College,University or College,,LAFAYETTE
LA0290100,LAFOURCHE,True,29.491992,-90.394849,LA,Louisiana,Golden Meadow Police Department,City,2021-01-01,LAFOURCHE
LA0290500,LAFOURCHE,True,29.491992,-90.394849,LA,Louisiana,Thibodaux Police Department,City,2015-01-01,LAFOURCHE
LA0290600,LAFOURCHE,False,29.491992,-90.394849,LA,Louisiana,Nicholls State University,University or College,,LAFOURCHE
LA0290000,LAFOURCHE,True,29.491992,-90.394849,LA,Louisiana,Lafourche Parish Sheriff's Office,County,2015-01-01,LAFOURCHE
LA0340000,MOREHOUSE,True,32.775772,-91.91325,LA,Louisiana,Morehouse Parish Sheriff's Office,County,2003-01-01,MOREHOUSE
LA0340100,MOREHOUSE,True,32.777275,-91.913185,LA,Louisiana,Bastrop Police Department,City,2021-01-01,MOREHOUSE
LA0410000,RED RIVER,False,32.014977,-93.34033,LA,Louisiana,Red River Parish Sheriff's Office,County,,RED RIVER
LA0410100,RED RIVER,False,32.101213,-93.34905,LA,Louisiana,Coushatta Police Department,City,,RED RIVER
LA0460200,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,Montpelier Police Department,City,2021-01-01,ST HELENA
LA0460000,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,St. Helena Parish Sheriff's Office,County,2013-01-01,ST HELENA
LA0460100,ST HELENA,True,30.821423,-90.70935,LA,Louisiana,Greensburg Police Department,City,2020-12-01,ST HELENA
LA0490700,ST LANDRY,False,,,LA,Louisiana,Melville,,,ST LANDRY
LA0490800,ST LANDRY,True,30.583441,-91.989274,LA,Louisiana,Krotz Springs Police Department,City,2017-08-01,ST LANDRY
LA0490000,ST LANDRY,True,30.534416,-92.08396,LA,Louisiana,St. Landry Parish Sheriff's Office,County,2021-01-01,ST LANDRY
LA0491300,ST LANDRY,True,30.583441,-91.989274,LA,Louisiana,Louisiana State University: Eunice,University or College,2020-02-01,ST LANDRY
LA0490200,ST LANDRY,True,30.53644,-92.08239,LA,Louisiana,Opelousas Police Department,City,2021-01-01,ST LANDRY
LA0490500,ST LANDRY,False,30.583441,-91.989274,LA,Louisiana,Washington Police Department,City,,ST LANDRY
LA0490600,ST LANDRY,False,30.583441,-91.989274,LA,Louisiana,Port Barre Police Department,City,,ST LANDRY
LA0500200,ST MARTIN,False,30.121433,-91.611481,LA,Louisiana,St. Martinville Police Department,City,,ST MARTIN
LA0500100,ST MARTIN,False,30.121433,-91.611481,LA,Louisiana,Breaux Bridge Police Department,City,,ST MARTIN
LA0500000,ST MARTIN,True,30.121433,-91.611481,LA,Louisiana,St. Martin Parish Sheriff's Office,County,2021-01-01,ST MARTIN
LA0570400,VERMILION,True,29.956594,-92.0347,LA,Louisiana,Erath Police Department,City,2020-04-01,VERMILION
LA0570200,VERMILION,False,30.00095,-92.28434,LA,Louisiana,Kaplan Police Department,City,,VERMILION
LA0570100,VERMILION,True,29.786872,-92.29009,LA,Louisiana,Abbeville Police Department,City,2020-12-01,VERMILION
LA0570000,VERMILION,True,29.786872,-92.29009,LA,Louisiana,Vermilion Parish Sheriff's Office,County,2021-01-01,VERMILION
LA0040000,ASSUMPTION,False,29.899884,-91.050528,LA,Louisiana,Assumption Parish Sheriff's Office,County,,ASSUMPTION
LA0060200,BEAUREGARD,False,30.645018,-93.340253,LA,Louisiana,Merryville Police Department,City,,BEAUREGARD
LA0060000,BEAUREGARD,True,30.645018,-93.340253,LA,Louisiana,Beauregard Parish Sheriff's Office,County,2021-01-01,BEAUREGARD
LA0200100,EVANGELINE,True,30.720693,-92.404086,LA,Louisiana,Basile Police Department,City,2004-01-01,EVANGELINE
LA0200200,EVANGELINE,True,30.720693,-92.404086,LA,Louisiana,Mamou Police Department,City,2003-09-01,EVANGELINE
LA0200300,EVANGELINE,False,30.720693,-92.404086,LA,Louisiana,Ville Platte Police Department,City,,EVANGELINE
LA0200600,EVANGELINE,True,,,LA,Louisiana,Chataignier,,2022-02-01,EVANGELINE
LA0200000,EVANGELINE,True,30.689276,-92.278015,LA,Louisiana,Evangeline Parish Sheriff's Office,County,2008-01-01,EVANGELINE
LA0320100,LIVINGSTON,False,30.440419,-90.727474,LA,Louisiana,Denham Springs Police Department,City,,LIVINGSTON
LA0320200,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Livingston Police Department,City,2022-01-01,LIVINGSTON
LA0320300,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Walker Police Department,City,2021-01-01,LIVINGSTON
LA0320000,LIVINGSTON,True,30.440419,-90.727474,LA,Louisiana,Livingston Parish Sheriff's Office,County,2021-01-01,LIVINGSTON
LA0440000,ST BERNARD,True,29.91811,-89.263494,LA,Louisiana,St. Bernard Parish Sheriff's Office,County,2021-01-01,ST BERNARD
LA0450000,ST CHARLES,True,29.905722,-90.357855,LA,Louisiana,St. Charles Parish Sheriff's Office,County,2020-01-01,ST CHARLES
LA0520200,ST TAMMANY,True,30.274563,-89.78045,LA,Louisiana,Slidell Police Department,City,2021-01-01,ST TAMMANY
LA0520000,ST TAMMANY,True,30.410022,-89.951962,LA,Louisiana,St. Tammany Parish Sheriff's Office,County,2019-01-01,ST TAMMANY
LA0520100,ST TAMMANY,True,30.478825,-90.09637,LA,Louisiana,Covington Police Department,City,2022-01-01,ST TAMMANY
LA0520300,ST TAMMANY,True,30.362373,-90.05933,LA,Louisiana,Mandeville Police Department,City,2021-01-01,ST TAMMANY
LA0520700,ST TAMMANY,False,30.410022,-89.951962,LA,Louisiana,Folsom Police Department,City,,ST TAMMANY
LA0520500,ST TAMMANY,True,30.410022,-89.951962,LA,Louisiana,Pearl River Police Department,City,2021-01-01,ST TAMMANY
LA0530600,TANGIPAHOA,False,30.621581,-90.406633,LA,Louisiana,Roseland Police Department,City,,TANGIPAHOA
LA0530800,TANGIPAHOA,True,30.621581,-90.406633,LA,Louisiana,Tickfaw Police Department,City,2015-01-01,TANGIPAHOA
LA0530900,TANGIPAHOA,True,30.621581,-90.406633,LA,Louisiana,Southeastern Louisiana University,University or College,2003-01-01,TANGIPAHOA
LA0530000,TANGIPAHOA,True,30.621581,-90.406633,LA,Louisiana,Tangipahoa Parish Sheriff's Office,County,2021-01-01,TANGIPAHOA
LA0530100,TANGIPAHOA,True,30.621581,-90.406633,LA,Louisiana,Hammond Police Department,City,2021-01-01,TANGIPAHOA
LA0530200,TANGIPAHOA,False,30.621581,-90.406633,LA,Louisiana,Kentwood Police Department,City,,TANGIPAHOA
LA0530300,TANGIPAHOA,True,30.440071,-90.44209,LA,Louisiana,Ponchatoula Police Department,City,2021-01-01,TANGIPAHOA
LA0530400,TANGIPAHOA,False,30.726677,-90.508224,LA,Louisiana,Amite Police Department,City,,TANGIPAHOA
LA0530500,TANGIPAHOA,True,30.621581,-90.406633,LA,Louisiana,Independence Police Department,City,2022-07-01,TANGIPAHOA
LA0550100,TERREBONNE,True,29.333258,-90.844212,LA,Louisiana,Houma Police Department,City,2020-11-01,TERREBONNE
LA0550000,TERREBONNE,True,29.333258,-90.844212,LA,Louisiana,Terrebonne Parish Sheriff's Office,County,2020-09-01,TERREBONNE
LA0590000,WASHINGTON,True,30.852144,-90.046253,LA,Louisiana,Washington Parish Sheriff's Office,County,2021-01-01,WASHINGTON
LA0590100,WASHINGTON,True,30.7865,-89.86042,LA,Louisiana,Bogalusa Police Department,City,2007-12-01,WASHINGTON
LA0590200,WASHINGTON,False,30.853376,-90.15753,LA,Louisiana,Franklinton Police Department,City,,WASHINGTON
LA0380000,PLAQUEMINES,True,29.856598,-89.98403,LA,Louisiana,Plaquemines Parish Sheriff's Office,County,2004-10-01,PLAQUEMINES
LA0180000,EAST CARROLL,True,32.803864,-91.172714,LA,Louisiana,East Carroll Parish Sheriff's Office,County,2003-01-01,EAST CARROLL
LA0180100,EAST CARROLL,True,32.73017,-91.234141,LA,Louisiana,Lake Providence Police Department,City,2021-01-01,EAST CARROLL
LA0350000,NATCHITOCHES,True,31.761036,-93.087906,LA,Louisiana,Natchitoches Parish Sheriff's Office,County,2023-03-01,NATCHITOCHES
LA0351000,NATCHITOCHES,False,31.734982,-93.086106,LA,Louisiana,Northwestern State University,University or College,,NATCHITOCHES
LA0350100,NATCHITOCHES,True,31.734982,-93.086106,LA,Louisiana,Natchitoches Police Department,City,2024-01-01,NATCHITOCHES
LA0620000,WEST CARROLL,True,32.79248,-91.451998,LA,Louisiana,West Carroll Parish Sheriff's Office,County,2021-01-01,WEST CARROLL
LA0620100,WEST CARROLL,True,32.79248,-91.451998,LA,Louisiana,Oak Grove Police Department,City,2023-01-01,WEST CARROLL
LADI00600,NOT SPECIFIED,True,30.269529,-92.816221,LA,Louisiana,Coushatta Tribal,Tribal,2021-01-01,NOT SPECIFIED
LA0510600,NOT SPECIFIED,True,29.629349,-91.463804,LA,Louisiana,Chitimacha Tribal,Tribal,2020-12-01,NOT SPECIFIED
LADI00500,NOT SPECIFIED,True,31.085094,-91.993797,LA,Louisiana,Tunica-Biloxi Tribal,Tribal,2020-11-01,NOT SPECIFIED
LA0390100,POINTE COUPEE,False,30.708319,-91.604621,LA,Louisiana,New Roads Police Department,City,,POINTE COUPEE
LA0390000,POINTE COUPEE,True,30.708319,-91.604621,LA,Louisiana,Pointe Coupee Parish Sheriff's Office,County,2021-01-01,POINTE COUPEE
LA0090100,"BOSSIER, CADDO",False,32.501125,-93.754555,LA,Louisiana,Shreveport Police Department,City,,"BOSSIER, CADDO"
LA0190300,EAST FELICIANA,True,30.839784,-91.043434,LA,Louisiana,Wilson Police Department,City,2021-01-01,EAST FELICIANA
LA0190500,EAST FELICIANA,True,30.839784,-91.043434,LA,Louisiana,Norwood Police Department,City,2020-10-01,EAST FELICIANA
LA0190000,EAST FELICIANA,True,30.839784,-91.043434,LA,Louisiana,East Feliciana Parish Sheriff's Office,County,2020-03-01,EAST FELICIANA
LA0190100,EAST FELICIANA,True,30.839784,-91.043434,LA,Louisiana,Clinton Police Department,City,2021-01-01,EAST FELICIANA
LA0630000,WEST FELICIANA,True,30.872701,-91.421008,LA,Louisiana,West Feliciana Parish Sheriff's Office,County,2021-01-01,WEST FELICIANA
LA0270200,JEFFERSON DAVIS,True,30.269529,-92.816221,LA,Louisiana,Jennings Police Department,City,2010-01-01,JEFFERSON DAVIS
LA0270000,JEFFERSON DAVIS,True,30.222612,-92.65572,LA,Louisiana,Jefferson Davis Parish Sheriff's Office,County,2007-01-01,JEFFERSON DAVIS
LA0270300,JEFFERSON DAVIS,True,30.269529,-92.816221,LA,Louisiana,Lake Arthur Police Department,City,2023-01-01,JEFFERSON DAVIS
LA0270400,JEFFERSON DAVIS,False,30.269529,-92.816221,LA,Louisiana,Welsh Police Department,City,,JEFFERSON DAVIS
LALSP0000,UNMAPPED COUNTY,False,30.544002,-91.093174,LA,Louisiana,State Police,State Police,,UNMAPPED COUNTY
LA0170600,EAST BATON ROUGE,False,30.544002,-91.093174,LA,Louisiana,Southern University and A&M College: Baton Rouge,University or College,,EAST BATON ROUGE
LA0170000,EAST BATON ROUGE,True,30.446917,-91.18758,LA,Louisiana,East Baton Rouge Parish Sheriff's Office,County,2021-01-01,EAST BATON ROUGE
LA0170100,EAST BATON ROUGE,True,30.589071,-91.165436,LA,Louisiana,Baker Police Department,City,2003-01-01,EAST BATON ROUGE
LA0170200,EAST BATON ROUGE,True,30.544002,-91.093174,LA,Louisiana,Baton Rouge Police Department,City,2021-01-01,EAST BATON ROUGE
LA0170300,EAST BATON ROUGE,True,30.544002,-91.093174,LA,Louisiana,Zachary Police Department,City,2021-01-01,EAST BATON ROUGE
LA0170400,EAST BATON ROUGE,True,30.544002,-91.093174,LA,Louisiana,Louisiana State University: Baton Rouge,University or College,2021-01-01,EAST BATON ROUGE
LA0171100,EAST BATON ROUGE,False,30.544002,-91.093174,LA,Louisiana,Department of Public Safety State Capitol Detail,Other State Agency,,EAST BATON ROUGE
LA0610200,WEST BATON ROUGE,True,30.464052,-91.309808,LA,Louisiana,Brusly Police Department,City,2021-01-01,WEST BATON ROUGE
LA0610000,WEST BATON ROUGE,True,30.464052,-91.309808,LA,Louisiana,West Baton Rouge Parish Sheriff's Office,County,2018-08-01,WEST BATON ROUGE
LA0610300,WEST BATON ROUGE,True,30.464052,-91.309808,LA,Louisiana,Addis Police Department,City,2021-01-01,WEST BATON ROUGE
LA0610100,WEST BATON ROUGE,True,30.464052,-91.309808,LA,Louisiana,Port Allen Police Department,City,2007-01-01,WEST BATON ROUGE
LA0490100,"ACADIA, ST LANDRY",False,30.492622,-92.41631,LA,Louisiana,Eunice Police Department,City,,"ACADIA, ST LANDRY"
LA0060100,"BEAUREGARD, VERNON",True,30.845575,-93.28573,LA,Louisiana,De Ridder Police Department,City,2021-01-01,"BEAUREGARD, VERNON"
LA0480000,ST JOHN THE BAPTIST,True,30.147307,-90.485674,LA,Louisiana,St. John the Baptist Parish Sheriff's Office,County,2015-01-01,ST JOHN THE BAPTIST
LA0280100,"LAFAYETTE, ST MARTIN",True,30.147108,-91.96057,LA,Louisiana,Broussard Police Department,City,2021-01-01,"LAFAYETTE, ST MARTIN"
LA0490300,"ST LANDRY, ST MARTIN",True,30.583441,-91.989274,LA,Louisiana,Arnaudville Police Department,City,2020-08-01,"ST LANDRY, ST MARTIN"
